Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
ClusterSummary                        "clusterSummaryProducer"    ""                "HLT"     
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "HLT"     
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "HLT"     
GenEventInfoProduct                   "generator"                 ""                "HLT"     
HcalNoiseSummary                      "hcalnoise"                 ""                "HLT"     
HcalUnpackerReport                    "castorDigis"               ""                "HLT"     
HcalUnpackerReport                    "hcalDigis"                 ""                "HLT"     
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "HLT"     
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "HLT"     
double                                "fixedGridRhoAll"           ""                "HLT"     
double                                "fixedGridRhoFastjetAll"    ""                "HLT"     
double                                "ak5CaloJets"               "rho"             "HLT"     
double                                "ak5GenJets"                "rho"             "HLT"     
double                                "ak5PFJets"                 "rho"             "HLT"     
double                                "ak5TrackJets"              "rho"             "HLT"     
double                                "ak7BasicJets"              "rho"             "HLT"     
double                                "ak7CaloJets"               "rho"             "HLT"     
double                                "ak7GenJets"                "rho"             "HLT"     
double                                "ak7PFJets"                 "rho"             "HLT"     
double                                "kt4CaloJets"               "rho"             "HLT"     
double                                "kt4GenJets"                "rho"             "HLT"     
double                                "kt4PFJets"                 "rho"             "HLT"     
double                                "kt6CaloJets"               "rho"             "HLT"     
double                                "kt6CaloJetsCentral"        "rho"             "HLT"     
double                                "kt6GenJets"                "rho"             "HLT"     
double                                "kt6PFJets"                 "rho"             "HLT"     
double                                "kt6PFJetsCentralChargedPileUp"   "rho"             "HLT"     
double                                "kt6PFJetsCentralNeutral"   "rho"             "HLT"     
double                                "kt6PFJetsCentralNeutralTight"   "rho"             "HLT"     
double                                "ak5CaloJets"               "sigma"           "HLT"     
double                                "ak5GenJets"                "sigma"           "HLT"     
double                                "ak5PFJets"                 "sigma"           "HLT"     
double                                "ak5TrackJets"              "sigma"           "HLT"     
double                                "ak7BasicJets"              "sigma"           "HLT"     
double                                "ak7CaloJets"               "sigma"           "HLT"     
double                                "ak7GenJets"                "sigma"           "HLT"     
double                                "ak7PFJets"                 "sigma"           "HLT"     
double                                "kt4CaloJets"               "sigma"           "HLT"     
double                                "kt4GenJets"                "sigma"           "HLT"     
double                                "kt4PFJets"                 "sigma"           "HLT"     
double                                "kt6CaloJets"               "sigma"           "HLT"     
double                                "kt6CaloJetsCentral"        "sigma"           "HLT"     
double                                "kt6GenJets"                "sigma"           "HLT"     
double                                "kt6PFJets"                 "sigma"           "HLT"     
double                                "kt6PFJetsCentralChargedPileUp"   "sigma"           "HLT"     
double                                "kt6PFJetsCentralNeutral"   "sigma"           "HLT"     
double                                "kt6PFJetsCentralNeutralTight"   "sigma"           "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak5JetTracksAssociatorAtVertex"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak7JetTracksAssociatorAtVertex"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedSecondaryVertexBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedSecondaryVertexMVABJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ghostTrackBJetTags"        ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetBProbabilityBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetProbabilityBJetTags"    ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighEffBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighPurBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softElectronByIP3dBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softElectronByPtBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonBJetTags"          ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonByIP3dBJetTags"    ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonByPtBJetTags"      ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighEffBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighPurBJetTags"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak5JetExtender"            ""                "HLT"     
